REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"2021/05/10 08:00:00",5374.29,52.54,TRADE
VIC1,"2021/05/10 08:30:00",5471.78,52.47,TRADE
VIC1,"2021/05/10 09:00:00",5507.37,44.06,TRADE
VIC1,"2021/05/10 09:30:00",5504.75,39.51,TRADE
VIC1,"2021/05/10 10:00:00",5470.05,36.46,TRADE
VIC1,"2021/05/10 10:30:00",5422.41,62.73,TRADE
VIC1,"2021/05/10 11:00:00",5441.89,62.19,TRADE
VIC1,"2021/05/10 11:30:00",5492.36,46.05,TRADE
VIC1,"2021/05/10 12:00:00",5457.31,45.37,TRADE
VIC1,"2021/05/10 12:30:00",5426.48,98.8,TRADE
VIC1,"2021/05/10 13:00:00",5268.81,45.99,TRADE
VIC1,"2021/05/10 13:30:00",5390.63,115.98,TRADE
VIC1,"2021/05/10 14:00:00",5463.29,72.52,TRADE
VIC1,"2021/05/10 14:30:00",5421.88,96.42,TRADE
VIC1,"2021/05/10 15:00:00",5383.25,68.55,TRADE
VIC1,"2021/05/10 15:30:00",5374.85,55.51,TRADE
VIC1,"2021/05/10 16:00:00",5413.16,52.77,TRADE
VIC1,"2021/05/10 16:30:00",5575.37,108.99,TRADE
VIC1,"2021/05/10 17:00:00",5750.28,64.59,TRADE
VIC1,"2021/05/10 17:30:00",6004.36,164.29,TRADE
VIC1,"2021/05/10 18:00:00",6352.55,264.9,TRADE
VIC1,"2021/05/10 18:30:00",6331.59,96.75,TRADE
VIC1,"2021/05/10 19:00:00",6146.54,67.91,TRADE
VIC1,"2021/05/10 19:30:00",5998.46,53.04,TRADE
VIC1,"2021/05/10 20:00:00",5772.73,56.89,TRADE
VIC1,"2021/05/10 20:30:00",5578.11,53.47,TRADE
VIC1,"2021/05/10 21:00:00",5360.92,49.6,TRADE
VIC1,"2021/05/10 21:30:00",5145.11,43.45,TRADE
VIC1,"2021/05/10 22:00:00",4900.01,39.32,TRADE
VIC1,"2021/05/10 22:30:00",4723.61,46.33,TRADE
VIC1,"2021/05/10 23:00:00",4532.64,48.82,TRADE
VIC1,"2021/05/10 23:30:00",4694.49,52.9,TRADE
VIC1,"2021/05/11 00:00:00",4607.88,52.45,TRADE
VIC1,"2021/05/11 00:30:00",4428.86,47.93,TRADE
VIC1,"2021/05/11 01:00:00",4267.76,44.39,TRADE
VIC1,"2021/05/11 01:30:00",4174.45,53.63,TRADE
VIC1,"2021/05/11 02:00:00",4008.81,50.67,TRADE
VIC1,"2021/05/11 02:30:00",3867.5,41.95,TRADE
VIC1,"2021/05/11 03:00:00",3773.93,35.53,TRADE
VIC1,"2021/05/11 03:30:00",3737.98,27.14,TRADE
VIC1,"2021/05/11 04:00:00",3708.04,22.11,TRADE
VIC1,"2021/05/11 04:30:00",3791.76,24.8,TRADE
VIC1,"2021/05/11 05:00:00",3851.74,27.94,TRADE
VIC1,"2021/05/11 05:30:00",4037.38,34.96,TRADE
VIC1,"2021/05/11 06:00:00",4299.26,41.22,TRADE
VIC1,"2021/05/11 06:30:00",4657.05,51.41,TRADE
VIC1,"2021/05/11 07:00:00",5103.28,64.34,TRADE
VIC1,"2021/05/11 07:30:00",5498.12,67.01,TRADE
VIC1,"2021/05/11 08:00:00",5808.9,55.36377,PD
VIC1,"2021/05/11 08:30:00",5867.08,55.38715,PD
VIC1,"2021/05/11 09:00:00",5722.35,41.72568,PD
VIC1,"2021/05/11 09:30:00",5606.47,43.71027,PD
VIC1,"2021/05/11 10:00:00",5497.78,39.18041,PD
VIC1,"2021/05/11 10:30:00",5388.45,48.45584,PD
VIC1,"2021/05/11 11:00:00",5249.68,24.43029,PD
VIC1,"2021/05/11 11:30:00",5156.65,19.98,PD
VIC1,"2021/05/11 12:00:00",5118.99,19.98,PD
VIC1,"2021/05/11 12:30:00",5097.29,19.98,PD
VIC1,"2021/05/11 13:00:00",5119.42,19.98,PD
VIC1,"2021/05/11 13:30:00",5151.55,19.98,PD
VIC1,"2021/05/11 14:00:00",5169.84,41.47763,PD
VIC1,"2021/05/11 14:30:00",5140.02,40.35249,PD
VIC1,"2021/05/11 15:00:00",5180.15,40.37893,PD
VIC1,"2021/05/11 15:30:00",5280.33,39.32045,PD
VIC1,"2021/05/11 16:00:00",5378.83,47.70396,PD
VIC1,"2021/05/11 16:30:00",5649.82,55.01,PD
VIC1,"2021/05/11 17:00:00",5907.22,56.23687,PD
VIC1,"2021/05/11 17:30:00",6142.5,69.33303,PD
VIC1,"2021/05/11 18:00:00",6400.09,87.93887,PD
VIC1,"2021/05/11 18:30:00",6411.29,85,PD
VIC1,"2021/05/11 19:00:00",6310.98,74.69494,PD
VIC1,"2021/05/11 19:30:00",6154.24,59.46902,PD
VIC1,"2021/05/11 20:00:00",5995.74,58.02651,PD
VIC1,"2021/05/11 20:30:00",5859.37,55.3419,PD
VIC1,"2021/05/11 21:00:00",5699.23,53.90195,PD
VIC1,"2021/05/11 21:30:00",5502.78,47.65702,PD
VIC1,"2021/05/11 22:00:00",5285.58,47.27052,PD
VIC1,"2021/05/11 22:30:00",5024.95,47.7649,PD
VIC1,"2021/05/11 23:00:00",4860.93,45.21221,PD
VIC1,"2021/05/11 23:30:00",4874.45,40.07909,PD
VIC1,"2021/05/12 00:00:00",4811.44,37.71574,PD
VIC1,"2021/05/12 00:30:00",4692.3,37.03896,PD
VIC1,"2021/05/12 01:00:00",4521.24,35.87578,PD
VIC1,"2021/05/12 01:30:00",4368.48,36.34948,PD
VIC1,"2021/05/12 02:00:00",4208.4,35.17455,PD
VIC1,"2021/05/12 02:30:00",4079.41,33.71484,PD
VIC1,"2021/05/12 03:00:00",3999.07,33.38497,PD
VIC1,"2021/05/12 03:30:00",3964.2,33.0467,PD
VIC1,"2021/05/12 04:00:00",3963.12,33.34787,PD
