REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,9/05/2021 22:30,4354.71,26.55,TRADE
VIC1,9/05/2021 23:00,4237.38,35.78,TRADE
VIC1,9/05/2021 23:30,4364.99,36.39,TRADE
VIC1,10/05/2021 0:00,4299.84,33.74,TRADE
VIC1,10/05/2021 0:30,4190.78,26.91,TRADE
VIC1,10/05/2021 1:00,4045.42,12.71,TRADE
VIC1,10/05/2021 1:30,3945.49,-18.1,TRADE
VIC1,10/05/2021 2:00,3759.91,-4.66,TRADE
VIC1,10/05/2021 2:30,3622.26,-30.97,TRADE
VIC1,10/05/2021 3:00,3559.51,-27.09,TRADE
VIC1,10/05/2021 3:30,3464.41,-35.1,TRADE
VIC1,10/05/2021 4:00,3410.09,-31.85,TRADE
VIC1,10/05/2021 4:30,3480.47,-27.26,TRADE
VIC1,10/05/2021 5:00,3471.91,-31.69,TRADE
VIC1,10/05/2021 5:30,3692.52,-31.4,TRADE
VIC1,10/05/2021 6:00,3920.41,-5.53,TRADE
VIC1,10/05/2021 6:30,4416.21,20.73,TRADE
VIC1,10/05/2021 7:00,4797.64,35.59,TRADE
VIC1,10/05/2021 7:30,5040.53,39.94,TRADE
VIC1,10/05/2021 8:00,5374.29,52.54,TRADE
VIC1,10/05/2021 8:30,5471.78,52.47,TRADE
VIC1,10/05/2021 9:00,5507.37,44.06,TRADE
VIC1,10/05/2021 9:30,5504.75,39.51,TRADE
VIC1,10/05/2021 10:00,5470.05,36.46,TRADE
VIC1,10/05/2021 10:30,5422.41,62.73,TRADE
VIC1,10/05/2021 11:00,5441.89,62.19,TRADE
VIC1,10/05/2021 11:30,5492.36,46.05,TRADE
VIC1,10/05/2021 12:00,5457.31,45.37,TRADE
VIC1,10/05/2021 12:30,5426.48,98.8,TRADE
VIC1,10/05/2021 13:00,5268.81,45.99,TRADE
VIC1,10/05/2021 13:30,5390.63,115.98,TRADE
VIC1,10/05/2021 14:00,5463.29,72.52,TRADE
VIC1,10/05/2021 14:30,5421.88,96.42,TRADE
VIC1,10/05/2021 15:00,5383.25,68.55,TRADE
VIC1,10/05/2021 15:30,5374.85,55.51,TRADE
VIC1,10/05/2021 16:00,5413.16,52.77,TRADE
VIC1,10/05/2021 16:30,5575.37,108.99,TRADE
VIC1,10/05/2021 17:00,5750.28,64.59,TRADE
VIC1,10/05/2021 17:30,6004.36,164.29,TRADE
VIC1,10/05/2021 18:00,6352.55,264.9,TRADE
VIC1,10/05/2021 18:30,6331.59,96.75,TRADE
VIC1,10/05/2021 19:00,6146.54,67.91,TRADE
VIC1,10/05/2021 19:30,5998.46,53.04,TRADE
VIC1,10/05/2021 20:00,5772.73,56.89,TRADE
VIC1,10/05/2021 20:30,5578.11,53.47,TRADE
VIC1,10/05/2021 21:00,5360.92,49.6,TRADE
VIC1,10/05/2021 21:30,5145.11,43.45,TRADE
VIC1,10/05/2021 22:00,4900.01,39.32,TRADE
VIC1,10/05/2021 22:30,4745.69,55.01,PD
VIC1,10/05/2021 23:00,4611.6,55.01,PD
VIC1,10/05/2021 23:30,4657.21,55.01,PD
VIC1,11/05/2021 0:00,4615.18,54.75402,PD
VIC1,11/05/2021 0:30,4492.57,55.01,PD
VIC1,11/05/2021 1:00,4338.32,52.70677,PD
VIC1,11/05/2021 1:30,4185.36,48.8004,PD
VIC1,11/05/2021 2:00,4044.37,50.8452,PD
VIC1,11/05/2021 2:30,3923.28,36.51718,PD
VIC1,11/05/2021 3:00,3841.66,19.98,PD
VIC1,11/05/2021 3:30,3818.8,19.98,PD
VIC1,11/05/2021 4:00,3824.68,19.98,PD
VIC1,11/05/2021 4:30,3879.38,19.98,PD
VIC1,11/05/2021 5:00,3969.29,32.75115,PD
VIC1,11/05/2021 5:30,4075.85,19.98,PD
VIC1,11/05/2021 6:00,4308.89,40.408,PD
VIC1,11/05/2021 6:30,4676.24,40.76857,PD
VIC1,11/05/2021 7:00,5038.7,55.01,PD
VIC1,11/05/2021 7:30,5337.12,55.01,PD
VIC1,11/05/2021 8:00,5587.55,57.69949,PD
VIC1,11/05/2021 8:30,5708.36,58.67339,PD
VIC1,11/05/2021 9:00,5646.95,52.32994,PD
VIC1,11/05/2021 9:30,5528.67,46.45868,PD
VIC1,11/05/2021 10:00,5366.91,27.76049,PD
VIC1,11/05/2021 10:30,5340.33,48.16878,PD
VIC1,11/05/2021 11:00,5234.39,43.53613,PD
VIC1,11/05/2021 11:30,5174.2,19.98,PD
VIC1,11/05/2021 12:00,5177.74,23.65645,PD
VIC1,11/05/2021 12:30,5185.92,24.55305,PD
VIC1,11/05/2021 13:00,5247.69,24.18138,PD
VIC1,11/05/2021 13:30,5282.68,25.12108,PD
VIC1,11/05/2021 14:00,5305.75,43.03599,PD
VIC1,11/05/2021 14:30,5274.39,42.65538,PD
VIC1,11/05/2021 15:00,5311.7,41.89221,PD
VIC1,11/05/2021 15:30,5388.96,39.27669,PD
VIC1,11/05/2021 16:00,5475.36,37.55273,PD
VIC1,11/05/2021 16:30,5741.96,46.46705,PD
VIC1,11/05/2021 17:00,5979.77,57.38309,PD
VIC1,11/05/2021 17:30,6208.37,72.73879,PD
VIC1,11/05/2021 18:00,6449.84,85,PD
VIC1,11/05/2021 18:30,6439.25,169.19564,PD
VIC1,11/05/2021 19:00,6331.23,115.29171,PD
VIC1,11/05/2021 19:30,6177.67,85,PD
VIC1,11/05/2021 20:00,6033.83,85,PD
VIC1,11/05/2021 20:30,5896.06,64.1105,PD
VIC1,11/05/2021 21:00,5747.58,56.45702,PD
VIC1,11/05/2021 21:30,5564.36,54.9783,PD
VIC1,11/05/2021 22:00,5356.78,50.78535,PD
VIC1,11/05/2021 22:30,5064.36,49.43777,PD
VIC1,11/05/2021 23:00,4890.76,45.6183,PD
VIC1,11/05/2021 23:30,4898.44,41.16755,PD
VIC1,12/05/2021 0:00,4829.66,37.74107,PD
VIC1,12/05/2021 0:30,4704.46,37.41404,PD
VIC1,12/05/2021 1:00,4528.64,36.91822,PD
